distance,velocity,density,pressure,gamma,quality,void_fraction,speed_of_sound,enthalpy,total_enthalpy,mach_number,mass_flow,area,area_slope,perimeter,diameter,stress_wall,determinant_D,determinant_N1,determinant_N2,determinant_N3
0.0,6.540830728458439,672.8168783262305,12000000.0,0.0,,0.0,811.7040091053195,1453102.0738315154,1453123.4650648246,0.008058147619189299,15.515624999999925,0.003525652355491146,-0.0234764455701612,0.21048670779051615,0.067,47.272522122996634,-2960727.6811781665,575878035581.9257,-128959407.62132421,843501656.0933548
0.011782545453088189,7.097736620945723,672.8129194539704,11997407.903647233,1.178254545308819e-08,,0.0,811.683054493014,1453098.2761329822,1453123.4650655524,0.00874446815374142,15.5156248128242,0.0032490400684837694,-0.023476445570161635,0.2019852205936022,0.06429389257795737,56.01490509809741,-3212738.0312755234,798089608910.0156,-164780706.06468284,1169570051.8605924
0.015349044342107194,7.285500964456822,672.811512408848,11996486.539201017,1.5349044342107196e-08,,0.0,811.675606323236,1453096.9258033934,1453123.465065545,0.008975877687711973,15.515624812689063,0.003165311351439674,-0.023476445570161635,0.1994118764241676,0.06347477168827292,59.133948187874296,-3297700.857032957,885809770148.0024,-178205984.44406468,1298319871.5392106
0.01640429865689849,7.367923416237961,672.8108870154846,11996076.263585309,1.6404298656898494e-08,,0.0,811.6722928289182,1453096.321920624,1453123.4650683578,0.00907746079462509,15.56833359006234,0.0031405377309557977,-0.05693212669610412,0.19865047634449848,0.06323241051557311,60.51077388794797,-3334996.145184901,2221115418716.5176,-445481748.9503989,3282275409.5982842
0.017254858524489245,7.513834430763049,672.8097709688313,11995342.462411538,1.7254858524489245e-08,,0.0,811.6663732461593,1453095.2362156268,1453123.4650695533,0.009257294226336367,15.646578087064295,0.003095034261224784,-0.07647649115963533,0.19709304498174637,0.06273666471575642,63.00325176429794,-3401018.3987016617,3206097709700.9834,-631495912.1485814,4744955727.588128
0.01812348679232583,7.678658124134033,672.8084844761039,11994496.495111052,1.812348679232583e-08,,0.0,811.6595491378237,1453093.9841742553,1453123.465069549,0.00946044204406959,15.646578087022798,0.00302860461917857,-0.07647649115963577,0.1947648724901945,0.06199558439495432,65.92306954442127,-3475596.7298350725,3496631998873.271,-673967869.9476566,5175168859.978883
0.02370968566406553,8.939822695965923,672.7977186885167,11987417.207243597,2.370968566406553e-08,,0.0,811.6024393225719,1453083.5048960405,1453123.465110958,0.011015026893497032,15.646570850878888,0.002601391730548002,-0.07647649115963533,0.17979225989273176,0.05722965378318196,90.52521929248303,-4046180.2824314823,6422114725162.694,-1063528983.0766343,9507760540.726051
0.027338721089392455,10.007650949032264,672.7873278095603,11980584.736168642,2.7338721089392454e-08,,0.0,811.5473132828014,1453073.3885819903,1453123.465120749,0.012331568086338892,15.646569532507106,0.002323855834924983,-0.07647649115963533,0.17006540577001653,0.05413349995445414,114.4931054770521,-4529202.181987449,10082927589921.543,-1491897667.1249282,14930391104.261805
0.029624181456806738,10.821713050068006,672.7786203357148,11974859.536844531,2.9624181456806737e-08,,0.0,811.5011148475455,1453064.9103853647,1453123.4651220336,0.013335425980407989,15.64656938855775,0.002149071845340727,-0.07647649115963533,0.16393971753838862,0.05218363283064728,134.70435713356903,-4897372.506300139,13783849062532.934,-1886313261.385354,20413140837.250225
0.03211321223339473,11.88179148482174,672.7662623347614,11966734.687703725,3.2113212233394726e-08,,0.0,811.435543163444,1453052.8766568021,1453123.4651412466,0.014642927075266706,15.64957185025389,0.0019577459277738325,-0.07737541195326314,0.15638253639008373,0.04977810735946006,163.72176169564042,-5376717.34571217,20257954053646.938,-2525453484.0461645,30006911702.053112
