x, y
0.003558718861209962, 120.17391304347827
0.09252669039145908, 102.78260869565219
0.06642941874258601, 112.28985507246377
0.10438908659549226, 102.43478260869566
0.14116251482799524, 101.15942028985508
0.19157769869513644, 100
0.2894424673784104, 96.52173913043478
0.35943060498220647, 92.92753623188406
0.40450771055753265, 89.33333333333333
0.43119810201660747, 86.31884057971014
0.44839857651245557, 82.26086956521739
0.4549228944246739, 80.17391304347827
0.4608540925266905, 76.34782608695652
0.4644128113879004, 74.02898550724638
0.46559905100830373, 71.4782608695652
