distance,velocity,density,pressure,gamma,quality,void_fraction,speed_of_sound,enthalpy,entropy,total_enthalpy,mach_number,mass_flow,area,area_slope,perimeter,diameter,stress_wall,determinant_D,determinant_N1,determinant_N2,determinant_N3
0.0,8.23083505029303,706.4321826036822,12000000.0,0.0,,0.0,904.1817071568714,1374117.6131846104,3297.3490308197383,1374151.486507423,0.009103076278964154,20.499999999999932,0.003525652355491146,-0.0234764455701612,0.21048670779051615,0.067,78.24569951168151,-4107228.4586043404,1328177729638.464,-225124302.62868643,1852961000.7489674
0.011549723940387049,8.916645657025981,706.4269941257089,11995786.394169511,1.154972394038705e-08,,0.0,904.1539851682338,1374111.7332235666,3297.349177101676,1374151.486508453,0.009861866234396879,20.499999782387697,0.0032545058900542603,-0.023476445570161635,0.20215320883665847,0.06434736489648482,92.42191530355841,-4449322.038972408,1828371596481.2317,-286210623.79657966,2552038715.6704693
0.0150374529930891,9.146791139551485,706.425160712401,11994297.316473315,1.50374529930891e-08,,0.0,904.1441884857187,1374109.6546143678,3297.349227700151,1374151.486508443,0.010116518201450523,20.499999782234976,0.00317262640878503,-0.0234764455701612,0.19963669964890227,0.06354633514334969,97.45059202942312,-4564115.549448074,2024256520197.2573,-308947131.5182799,2825874885.16125
0.015755841681215757,9.195679130282944,706.4247652845394,11993976.145747371,1.5755841681215757e-08,,0.0,904.1420755034588,1374109.206251118,3297.3492385459235,1374151.4865084516,0.010170612981552108,20.499999782234827,0.003155761195850005,-0.0234764455701612,0.19911835900181266,0.06338134219097016,98.53637608583453,-4588499.771749575,2067815014445.9585,-313926938.6978015,2886771398.6169868
0.016479088642374493,9.284508769069628,706.4240478259229,11993391.776110796,1.6479088642374494e-08,,0.0,904.1382365187019,1374108.385457101,3297.349249648381,1374151.4865086426,0.010268904017176339,20.586643746104638,0.0031387819279325773,-0.06089599933596862,0.19859651295377675,0.06321523343481439,100.48440033927147,-4632805.650616544,5503409285573.332,-834596947.312976,7748822675.966068
0.01723250297197049,9.450508132426602,706.4226952599463,11992288.401839165,1.7232502971970492e-08,,0.0,904.130993711903,1374106.8304591083,3297.349261598427,1374151.486511089,0.010452587288958664,20.67402796113605,0.0030967439354393535,-0.07647649115963577,0.1971529642640617,0.06275573761569044,104.22782781067077,-4715600.388564574,7379514588562.852,-1100683768.2159681,10402020902.754961
0.018000109216480018,9.633140290817803,706.4211799171064,11991052.140810102,1.800010921648002e-08,,0.0,904.1228788389582,1374105.08781516,3297.3492743597108,1374151.4865110912,0.01065468037175249,20.674027961111396,0.0030380401032670395,-0.07647649115963577,0.19509555972292064,0.062100845410365806,108.48465923750379,-4806688.781680794,7966341959669.295,-1165729940.3098505,11229640056.211454
0.02359021709074001,11.21092839333392,706.4068832954147,11979388.741156256,2.359021709074001e-08,,0.0,904.0463136776328,1374088.6441175994,3297.3493901152874,1374151.4865753197,0.012400834142808684,20.674018536327047,0.002610528267839786,-0.07647649115963577,0.18011246987935145,0.05733157978757779,148.9252300399524,-5593512.747898857,14608359786442.137,-1837354439.937806,20598449059.31689
0.027430850639167653,12.632477959951352,706.3921514688053,11967371.1030088,2.7430850639167652e-08,,0.0,903.9674101423853,1374071.6968471336,3297.3495028263924,1374151.4865968379,0.013974483834501943,20.674016113521674,0.002316810090226059,-0.07647649115963577,0.16981847219510549,0.05405489855632925,191.00706264563726,-6302247.573578422,23543547542234.848,-2628492943.9971695,33204379182.931885
0.029976526378188564,13.791644302119659,706.3788396041065,11956512.8397294,2.997652637818856e-08,,0.0,903.8961062495181,1374056.3818748028,3297.3496006110313,1374151.4866010807,0.015257997248538333,20.6740157270335,0.0021221257420755276,-0.0764764911596362,0.16299533225428744,0.05188302565835139,229.29720262261677,-6880029.357693746,33442210891833.82,-3420305022.045277,47171630268.802
