distance,velocity,density,pressure,speed_of_sound,mass_flow,entropy,mach_number,quality,stable_fraction
0,1.074141512216256,785.7437687689684,6100000,358.26664711996517,0.025320000000000002,1178.8875346197294,0.002998162,0,0
0.001828252,1.149112846556887,785.7432585880238,6099934.515999998,358.2651684902099,0.025320000000002587,1178.8875346197278,0.003207437,0,0
0.003656483,1.2353339349362673,785.7426293069608,6099853.745713067,358.2633446650558,0.025320000000007194,1178.8875346197292,0.003448117,0,0
0.005406923,1.3309495863526346,785.7418782348786,6099757.344226154,358.26116783665873,0.02532,1178.8875346197285,0.003715026,0,0
0.007022835,1.4333667608584655,785.7410116,6099646.117233608,358.2586561753887,0.025320000000020836,1178.887534619729,0.004000927,0,0
0.008513699,1.5429064523996983,785.7400137066562,6099518.033654042,358.2557637888375,0.02532,1178.887534619729,0.004306718,0,0
0.009890241,1.6600410823217904,785.7388652850593,6099370.638335984,358.2524351982263,0.02532,1178.887534619728,0.004633719,0,0
0.011162218,1.785280880837223,785.7375444567055,6099201.118686931,358.24860683939295,0.025320000000047704,1178.8875346197285,0.004983357,0,0
0.012338443240782454,1.9191713573703992,785.7360261584649,6099006.259550215,358.24420603923033,0.02532,1178.8875346197278,0.00535716,0,0
0.013426893990013053,2.062295559340625,785.7342817420915,6098782.386212043,358.2391497226394,0.025320000000071154,1178.8875346197274,0.005756757,0,0
0.014434796108382589,2.2152767070930737,785.7322784634124,6098525.299032242,358.23334292837836,0.025320000000084976,1178.8875346197276,0.006183893,0,0
0.015368706,2.3787810204442303,785.7299788983986,6098230.199,358.22667711185437,0.025320000000100446,1178.8875346197271,0.006640435,0,0
0.016234579722529195,2.553520768824983,785.7273402752531,6097891.601098025,358.2190282029942,0.025320000000117766,1178.8875346197276,0.007128378,0,0
0.017037836,2.740257543659189,785.7243137105071,6097503.239,358.2102543839005,0.025320000000137177,1178.8875346197283,0.007649858,0,0
0.017783411252758903,2.939805783305706,785.7208433348912,6097057.951877371,358.20019354443826,0.025320000000158948,1178.887534619728,0.008207159,0,0
0.018475805831209263,3.1530365845806303,785.7168652924827,6096547.556117449,358.1886604,0.025320000000183404,1178.8875346197285,0.008802726,0,0
0.01911913,3.380881808799756,785.7123065945767,6095962.700785921,358.17544298653803,0.025320000000210886,1178.8875346197274,0.009439178,0,0
0.019717141332028634,3.6243385267372847,785.7070838062411,6095292.699437413,358.16029915770173,0.02532,1178.8875346197285,0.010119319576348273,0,0
0.020273278,3.884473837043938,785.7011015402073,6094525.338697334,358.14295185863915,0.02532,1178.887534619727,0.010846154634301332,0,0
0.020790690622868452,4.162430097082068,785.6942507286583,6093646.658686128,358.12308423885264,0.02532,1178.8875346197278,0.011622903633617504,0,0
0.021272268415350456,4.459430612038782,785.6864066,6092640.701229716,358.10033381134906,0.025320000000360048,1178.8875346197271,0.012453019980674064,0,0
0.021720664127502384,4.776785849460856,785.6774265903418,6091489.220876781,358.07428576669764,0.02532,1178.8875346197265,0.013340209111170741,0,0
0.022138315584274836,5.115900224175457,785.6671473324242,6090171.353024655,358.0444652683017,0.025320000000466303,1178.8875346197262,0.014288449397875321,0,0
0.022527465289961583,5.478279557338961,785.6553820168426,6088663.232,358.0103285587663,0.025320000000529995,1178.8875346197258,0.015302015389870851,0,0
0.022890177969864728,5.865539267238475,785.6419167099148,6086937.553,357.97125268041077,0.025320000000602028,1178.8875346197242,0.016385504,0,0
0.023228356365116963,6.279413432941222,785.6265063600881,6084963.065329208,357.9265235688597,0.025320000000683567,1178.8875346197242,0.017543861713095864,0,0
0.023543755452591734,6.721764841905659,785.6088701,6082703.986508833,357.8753222354122,0.025320000000775944,1178.887534619722,0.018782420648395665,0,0
0.023837995267668007,7.194596177890118,785.5886859852043,6080119.330569631,357.8167086936135,0.02532,1178.887535,0.020106931853902357,0,0
0.024112572483468358,7.700062535405487,785.5655843957115,6077162.124090014,357.74960321231555,0.025320000000999435,1178.8875346197171,0.021523608876892843,0,0
0.024368871,8.240485503446552,785.5391410048524,6073778.499373109,357.6727643829156,0.025320000001134275,1178.8875346197149,0.023039175,0,0
0.024608170873405198,8.818369074355173,785.5088680519036,6069906.639077246,357.58476337606044,0.025320000001287514,1178.887534619711,0.024660919528836794,0,0
0.024831658,9.436417771055506,785.4742043137711,6065475.544964501,357.4839536028354,0.02532,1178.8875346197071,0.026396759004012147,0,0
0.025040431,10.097557337933877,785.4345032664884,6060403.598,357.36843482099283,0.025320000001660098,1178.887535,0.028255314,0,0
0.025235508518385956,10.804958597065106,785.3890191,6054596.865,357.2360104529016,0.025320000001886046,1178.8875346196924,0.030245995031034655,0,0
0.025417835950993114,11.562065150844116,785.33689,6047947.110835749,357.0841365552927,0.025320000002143746,1178.887534619681,0.032379106,0,0
0.025588291,12.372625686114304,785.2771186213281,6040329.430345833,356.90986046045833,0.025320000002437913,1178.887534619668,0.034665968,0,0
0.02574769,13.240732009500675,785.2085477269769,6031599.446876882,356.70974649182034,0.025320000002774082,1178.8875346196494,0.037119064,0,0
0.025896791202635303,14.170864243257926,785.1298318602812,6021589.949321241,356.47978534620967,0.025320000003158757,1178.8875346196246,0.039752224,0,0
0.026036301,15.167944776872465,785.0394020565772,6010106.848085008,356.21528268413414,0.025320000003599574,1178.8875346195923,0.042580837,0,0
0.026166876519678108,16.237403390087792,784.9354228545885,5996924.271657607,355.91072086878285,0.025320000004105392,1178.8875346195503,0.045622124982501434,0,0
0.026289132,17.38525641082745,784.815739,5981778.577664153,355.55958568786014,0.025320000004686677,1178.8875346194948,0.048895479,0,0
