distance,velocity,density,pressure,speed_of_sound,mass_flow,entropy,mach_number,quality,stable_fraction
0.027083771916778642,41.974076524093476,734.0857629853102,5416080.100086159,59.4280888613036,0.030967094816226552,1178.8875346313646,0.706300292140553,0.02332212840314753,0.7954930358851949
0.027088769984194884,42.45500169148769,729.6329911328268,5401221.922163734,59.60920745426112,0.030966166799763096,1178.8875346313646,0.7122222137253533,0.02548807277920027,0.8138944505638558
0.027093760892420507,42.955635932804185,724.9838225892421,5385672.3336816365,59.80012674392687,0.0309652868791798,1178.8875346313646,0.7183201486636756,0.027746285033424783,0.8309651115139165
0.02709874493358918,43.47688506098086,720.1370650433762,5369395.726059988,60.00095514892062,0.030964454123532242,1178.8875346313646,0.7246032159500212,0.03009679384751725,0.8467655098866557
0.02710372173892325,44.019717226357194,715.0910154264996,5352353.972400408,60.211834112862874,0.030963667454234522,1178.8875346313646,0.7310808228137564,0.03253982029638605,0.8613557383807006
0.02710869027797749,44.58517610934059,709.8433370753662,5334505.971120333,60.43294513112308,0.030962925645166138,1178.8875346313646,0.7377627552753364,0.035075834520566986,0.8747955429712848
0.02711364884580161,45.17439585676037,704.3909270350352,5315807.125295816,60.664517675279846,0.030962227327342405,1178.8875346313646,0.7446592767549269,0.0377056176448563,0.8871443078489175
0.02711859504033391,45.78861832412071,698.7297715385323,5296208.738527267,60.90683814772195,0.030961570995499465,1178.8875346313646,0.7517812402782447,0.040430329774652565,0.8984609890184224
0.027123525579147868,46.42919306459819,692.8549722200107,5275657.954873952,61.160252020805785,0.030960955044963774,1178.8875346313646,0.7591399892989925,0.04325149647265932,0.9088037020224894
0.0271284370303851,47.097703775180065,686.7596319746333,5254093.61736598,61.425216044078084,0.030960377675951927,1178.8875346313646,0.7667486874019824,0.04617154202055372,0.9182311254279935
0.027133324174466854,47.79578512046675,680.4365935478788,5231452.072862605,61.702227657002105,0.030959837113980107,1178.8875346313646,0.7746200896693684,0.0491929546295831,0.9267991577743434
